iter	Passed	Remaining
0	158	157894
1	159	79445
2	160	53201
3	161	40241
4	162	32288
5	162	26967
6	163	23161
7	163	20304
8	164	18111
9	166	16434
10	166	14996
11	168	13857
12	169	12896
13	171	12104
14	173	11424
15	175	10800
16	177	10239
17	177	9701
18	178	9212
19	179	8782
20	180	8403
21	181	8059
22	182	7741
23	183	7446
24	183	7168
25	185	6930
26	185	6695
27	186	6472
28	187	6267
29	187	6075
30	189	5916
31	190	5766
32	191	5607
33	191	5454
34	192	5309
35	193	5174
36	193	5045
37	194	4925
38	195	4808
39	195	4701
40	196	4596
41	197	4497
42	197	4402
43	198	4314
44	199	4227
45	199	4144
46	200	4063
47	200	3985
48	201	3910
49	202	3838
50	202	3768
51	203	3700
52	203	3638
53	204	3582
54	205	3524
55	205	3468
56	206	3412
57	206	3358
58	207	3309
59	208	3261
60	208	3213
61	209	3167
62	210	3125
63	210	3084
64	211	3041
65	212	3000
66	212	2962
67	213	2923
68	213	2886
69	214	2849
70	215	2815
71	215	2781
72	216	2750
73	217	2722
74	218	2696
75	219	2667
76	220	2642
77	221	2614
78	222	2588
79	222	2562
80	223	2534
81	224	2508
82	224	2483
83	225	2460
84	226	2433
85	226	2408
86	227	2382
87	227	2359
88	228	2336
89	229	2316
90	229	2295
91	230	2274
92	231	2253
93	232	2236
94	232	2218
95	233	2199
96	234	2183
97	235	2165
98	235	2147
99	236	2130
100	237	2113
101	237	2093
102	238	2077
103	239	2061
104	240	2045
105	240	2029
106	241	2013
107	241	1997
108	242	1982
109	242	1966
110	243	1950
111	244	1936
112	244	1921
113	245	1906
114	245	1892
115	246	1876
116	246	1863
117	247	1850
118	248	1837
119	249	1826
120	250	1816
121	250	1804
122	251	1790
123	251	1778
124	252	1768
125	253	1757
126	253	1745
127	254	1731
128	254	1719
129	255	1708
130	255	1697
131	256	1685
132	256	1674
133	257	1663
134	257	1651
135	258	1641
136	258	1630
137	259	1619
138	259	1609
139	260	1599
140	260	1588
141	261	1578
142	261	1569
143	262	1559
144	262	1549
145	263	1541
146	264	1533
147	265	1526
148	265	1517
149	266	1509
150	266	1500
151	267	1491
152	267	1482
153	268	1474
154	268	1465
155	269	1457
156	269	1449
157	270	1441
158	271	1434
159	271	1426
160	272	1418
161	272	1411
162	273	1403
163	273	1395
164	274	1388
165	274	1381
166	275	1373
167	275	1366
168	276	1358
169	276	1351
170	277	1344
171	277	1337
172	278	1331
173	279	1325
174	280	1320
175	280	1314
176	281	1308
177	282	1303
178	282	1297
179	283	1291
180	283	1284
181	284	1278
182	284	1272
183	285	1265
184	285	1259
185	286	1253
186	287	1248
187	287	1242
188	288	1236
189	288	1230
190	289	1224
191	289	1219
192	290	1213
193	290	1207
194	291	1202
195	291	1196
196	292	1191
197	292	1185
198	293	1180
199	293	1175
200	294	1171
201	295	1165
202	295	1160
203	296	1156
204	296	1151
205	297	1146
206	297	1141
207	298	1136
208	298	1131
209	299	1126
210	300	1121
211	300	1117
212	301	1112
213	301	1107
214	302	1102
215	302	1098
216	302	1093
217	303	1088
218	303	1083
219	304	1079
220	304	1074
221	305	1070
222	305	1066
223	306	1061
224	307	1057
225	307	1053
226	308	1050
227	309	1047
228	310	1044
229	310	1041
230	311	1037
231	312	1033
232	312	1029
233	313	1024
234	313	1020
235	314	1016
236	314	1012
237	315	1009
238	315	1005
239	316	1001
240	316	997
241	317	993
242	317	990
243	318	986
244	319	983
245	319	979
246	320	975
247	320	972
248	321	968
249	321	964
250	322	961
251	322	957
252	323	954
253	323	951
254	324	948
255	325	945
256	325	942
257	326	939
258	327	935
259	327	932
260	328	928
261	328	925
262	329	922
263	329	918
264	330	915
265	330	912
266	331	908
267	331	905
268	332	902
269	332	899
270	333	896
271	333	893
272	334	890
273	335	887
274	335	884
275	336	881
276	336	878
277	337	875
278	337	872
279	338	870
280	339	867
281	339	864
282	340	862
283	340	859
284	341	856
285	341	853
286	342	851
287	343	848
288	343	845
289	344	842
290	344	840
291	345	837
292	346	835
293	346	832
294	347	829
295	347	827
296	348	824
297	348	821
298	349	818
299	349	816
300	350	813
301	350	811
302	351	808
303	351	805
304	352	803
305	353	800
306	353	798
307	354	796
308	355	793
309	355	791
310	356	788
311	356	786
312	357	784
313	357	781
314	358	778
315	358	776
316	359	774
317	359	771
318	360	769
319	361	767
320	361	764
321	362	762
322	362	760
323	363	757
324	363	755
325	364	753
326	365	751
327	365	748
328	366	746
329	366	744
330	367	742
331	367	739
332	368	737
333	369	736
334	370	734
335	370	732
336	371	730
337	371	728
338	372	726
339	372	723
340	373	721
341	373	719
342	374	717
343	374	715
344	375	712
345	375	710
346	376	708
347	377	706
348	377	704
349	378	702
350	378	700
351	379	698
352	379	696
353	380	694
354	380	692
355	381	690
356	382	688
